"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"Western Eye Hospital","https://www.doctify.com/uk/practice/western-eye-hospital","","London, NW1 5QH","Cataract Surgery; Oculoplastic Surgery; Ophthalmology; Optometry; Paediatric Ophthalmology and Strabismus","","18","","","","RYJ07","","Professor Julian Redhead","exact","","","","","","","NOT_FOUND","","","","","Professor Julian Redhead","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"London Vision Clinic","https://www.doctify.com/uk/practice/london-vision-clinic","","London, W1G 7LA","Cataract Surgery; Ophthalmology","","5","","","","1-3086882805","Mr Craig Engelfried","Professor Dan Reinstein","exact","","","","","","","NOT_FOUND","","","","","Professor Dan Reinstein","","","","","","","","","","","","","unknown","","","","",""
"Oculase - The Eye Clinic in Harley Street, London","https://www.doctify.com/uk/practice/oculase-the-eye-clinic-2","","London, W1G 8GQ","Cataract Surgery; Oculoplastic Surgery; Ophthalmology; Optometry; Paediatric Ophthalmology and Strabismus","","4","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"London Eye Diagnostic Centre","https://www.doctify.com/uk/practice/london-eye-diagnostic-centre","","London, W1G 9QN","Cataract Surgery; Glaucoma; Ophthalmology","","8","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Kersley Eye Clinic","https://www.doctify.com/uk/practice/kersley-eye-clinic","","London, W1G 9PR","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology; Paediatric Ophthalmology and Strabismus","","5","","","","1-4017111373","Dr Siobhan Mairead Elizabeth Wren","Mr Sheng Lim","exact","","","","","","","NOT_FOUND","","","","","Mr Sheng Lim","","","","","","","","","","","","","unknown","","","","",""
"The Wimpole Eye Clinic","https://www.doctify.com/uk/practice/46-wimpole-street","","London, W1G 8SD","Cataract Surgery; Geriatric Medicine; Oculoplastic Surgery; Ophthalmology; Optometry; Paediatric Cardiology; Paediatric Ophthalmology and Strabismus","","1","","","","1-2185708618","Professor David Stanley Gartry","Professor David Stanley Gartry","fuzzy","","","","","","","NOT_FOUND","","","","","Professor David Stanley Gartry","","","","","","","","","","","","","unknown","","","","",""
"Infinity Eye Clinic","https://www.doctify.com/uk/practice/infinity-eye-clinic","","London, W1G 9PF","Cataract Surgery; Ophthalmology","","1","","","","1-2283828271","Mr Kuang Ying Hu","Mr Kuang Ying Hu","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Kuang Ying Hu","","","","","","","","","","","","","unknown","","","","",""
"Ultralase Harley Street","https://www.doctify.com/uk/practice/ultralase-harley-street","","London, W1G 9QQ","Cataract Surgery; Ophthalmology; Optometry","","1","","","","1-1177001323","Miss Kelly Harding","Dr Chris Fisher","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Chris Fisher","","","","","","","","","","","","","unknown","","","","",""
"Surgical Aesthetics","https://www.doctify.com/uk/practice/surgical-aesthetics","","London, W1G 8AG","Cosmetic (Aesthetic) Medicine; General Practice (GP); Ophthalmology; Oral & Maxillofacial Surgery; Plastic Surgery; Primary Care","","2","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"AccuVision The Eye Clinic - London","https://www.doctify.com/uk/practice/accuvision-the-eye-clinic---london","","London, SW6 4LS","Cataract Surgery; Ophthalmology","","5","","","","1-119808648","Mr Vikash Patel","Mr Daryus Panthakey","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Daryus Panthakey","","","","","","","","","","","","","unknown","","","","",""
"Oculase - The Eye Clinic in West London","https://www.doctify.com/uk/practice/oculase-the-eye-clinic","","London, SW6 4LS","Cataract Surgery; Ophthalmology; Optometry","","9","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Skinesis Clinic At Sarah Chapman","https://www.doctify.com/uk/practice/skinesis-clinic-at-sarah-chapman","","London, SW1X 0BP","Cosmetic (Aesthetic) Medicine; Dermatology; General Surgery; Plastic Surgery","","2","","","","1-8524411305","Dr Alexis Camille Granite","Dr Alexis Camille Granite","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Alexis Camille Granite","","","","","","","","","","","","","unknown","","","","",""
"London Eye Hospital","https://www.doctify.com/uk/practice/london-eye-hospital","","London, W1G 9PB","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology","","0","","","","1-2185777628","","Mr Christopher Chisholm","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Christopher Chisholm","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Optimal Vision Clinic","https://www.doctify.com/uk/practice/optimal-vision-clinic","","London, WC1E 6HA","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology; Paediatrics","","0","","","","1-13932164067","Dr Amir Hossein Mani","Dr Amir Hossein Mani","fuzzy","","","","","","","NOT_FOUND","","","","","Dr Amir Hossein Mani","","","","","","","","","","","","","unknown","","","","",""
"Realself, Inc","https://www.doctify.com/uk/practice/realself-inc","","London, W1G 7HZ","Dermatology; General Practice (GP); Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"TLC Ophthalmology LLP","https://www.doctify.com/uk/practice/tlc-ophthalmology-llp","","Marylebone, W1G 6AU","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The London Plastic Surgery Associates","https://www.doctify.com/uk/practice/the-london-plastic-surgery-associates","","London, W1G 6PU","Ophthalmology; Plastic Surgery; Reconstructive Surgery; Urology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"London Facial Plastic Surgery","https://www.doctify.com/uk/practice/london-facial-plastic-surgery","","London, W1G 9QN","Acupuncture; Cosmetic (Aesthetic) Medicine; Cosmetic Plastic Surgery; Ear Nose & Throat Surgery (ENT/Otolaryngology); Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Retina Clinic London","https://www.doctify.com/uk/practice/the-retina-clinic-london","","London, W1G 7LB","Endocrinology & Diabetes; Ophthalmology; Optometry; Retina; Vitreoretinal Surgery","","0","","","","1-27126191442","Professor Paulo Eduardo Stanga","Professor Paulo Eduardo Stanga","exact","","","","","","","NOT_FOUND","","","","","Professor Paulo Eduardo Stanga","","","","","","","","","","","","","unknown","","","","",""
"234 Eye Clinic","https://www.doctify.com/uk/practice/234-eye-clinic","","London, W1W 5QT","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology; Paediatric Ophthalmology and Strabismus","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Superdrug Marble Arch","https://www.doctify.com/uk/practice/superdrug-marble-arch","","London, W1C 1NB","Dermatology; Ophthalmology; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Avizor UK Ltd","https://www.doctify.com/uk/practice/avizor-uk-ltd","","London, W1K 4QR","Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Royal College of Ophthalmologists","https://www.doctify.com/uk/practice/royal-college-of-ophthalmologists","","London, NW1 2HD","Glaucoma; Neuro-Ophthalmology; Neurology; Ophthalmology; Paediatric Ophthalmology and Strabismus; Vitreoretinal Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Footscope- Lansdowne House","https://www.doctify.com/uk/practice/footscope-lansdowne-house","","London, W1J 6ER","Dentistry; Endocrinology & Diabetes; Nursing; Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The London Eye Unit","https://www.doctify.com/uk/practice/the-london-eye-unit","","London, NW8 9NH","Cataract Surgery; Oculoplastic Surgery; Ophthalmology; Optometry; Paediatric Ophthalmology and Strabismus","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Camden Contact Lens Centre","https://www.doctify.com/uk/practice/camden-contact-lens-centre","","London, NW1 0JH","Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Boots Opticians - Camden High Street","https://www.doctify.com/uk/practice/boots-opticians-camden-high-street","","London, NW1 0LU","Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Hodd, Barnes and Dickens Opticians","https://www.doctify.com/uk/practice/hodd-barnes-and-dickens-opticians","","London, WC1V 6LF","Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Safarian & Simon Opticians","https://www.doctify.com/uk/practice/safarian-simon-opticians","","London, NW8 7SH","Cataract Surgery; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Rcpch","https://www.doctify.com/uk/practice/rcpch","","London, WC1X 8SH","Cardiology; Child & Adolescent Psychiatry; Gastroenterology; Haematology; Neonatal Medicine; Oncology; Ophthalmology; Paediatric Cardiology; Paediatric Diabetes & Endocrinology; Paediatric Gastroenterology; Paediatric Haematology; Paediatric Intensive Care; Paediatric Nephrology; Paediatric Neurology; Paediatric Oncology; Paediatric Ophthalmology and Strabismus; Paediatric Respiratory Medicine; Paediatric Rheumatology; Paediatric Surgery; Paediatrics; Podiatric Surgery; Podiatry; Psychiatry; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Royal College Of Paediatrics And Child Health","https://www.doctify.com/uk/practice/royal-college-of-paediatrics-and-child-health","","London, WC1X 8SH.","Cardiology; Child & Adolescent Psychiatry; Emergency Ophthalmology; Gastroenterology; Haematology; Oncology; Ophthalmology; Paediatric Cardiology; Paediatric Diabetes & Endocrinology; Paediatric Gastroenterology; Paediatric Haematology; Paediatric Intensive Care; Paediatric Nephrology; Paediatric Neurology; Paediatric Oncology; Paediatric Respiratory Medicine; Paediatric Rheumatology; Paediatric Surgery; Paediatrics; Podiatric Surgery; Podiatry; Psychiatry; Sports & Exercise Medicine","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Perspectives Optometrist","https://www.doctify.com/uk/practice/perspectives-optometrist","","London, NW3 4TG","Cataract Surgery; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"City University Eye Clinic","https://www.doctify.com/uk/practice/city-university-eye-clinic","","London, EC1V 0HB","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Optimax London Finchley Road","https://www.doctify.com/uk/practice/optimax-london-finchley-road","","London, NW3 5HT","Cataract Surgery; Ophthalmology; Optometry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"City Chiropody and Podiatry (South Kensington)","https://www.doctify.com/uk/practice/city-chiropody-and-podiatry-south-kensington","","South Kensington, SW7 2NG","Chiropody; Ophthalmology; Podiatry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Dr Maryam Zamani Clinic","https://www.doctify.com/uk/practice/the-clinic-at-dr-maryam-zamani","","London, SW3 4TX","Cosmetic (Aesthetic) Medicine; Oculoplastic Surgery; Ophthalmology; Oral & Maxillofacial Surgery; Plastic Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Ucl Institute Of Ophthalmology","https://www.doctify.com/uk/practice/ucl-institute-of-ophthalmology","","London, EC1V 9EL","Neuro-Ophthalmology; Neurology; Oculoplastic Surgery; Ophthalmology; Paediatric Ophthalmology and Strabismus; Vitreoretinal Surgery","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"City Chiropody and Podiatry (Barbican)","https://www.doctify.com/uk/practice/city-chiropody-and-podiatry","","London, EC2Y 8BJ","Chiropody; Endocrinology & Diabetes; Nursing; Ophthalmology; Podiatry","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Raven Vision","https://www.doctify.com/uk/practice/raven-vision","","London, N1 7GU","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Kilburn Eye Centre","https://www.doctify.com/uk/practice/kilburn-eye-centre","","London, NW6 7HR","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology","","0","","","","1-3244910889","","","fuzzy","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Evolution Podiatry","https://www.doctify.com/uk/practice/evolution-podiatry","","London, W10 5TG","Endocrinology & Diabetes; Nursing; Ophthalmology; Sports & Exercise Medicine; Sports Injury","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"Chelsea Clinic Chiropodists","https://www.doctify.com/uk/practice/chelsea-clinic-chiropodists","","London, SW10 9QL","Chiropody; Endocrinology & Diabetes; Nursing; Ophthalmology; Podiatry","","0","","","","1-11940720945","Mr Christopher David Myers","Mr Christopher David Myers","fuzzy","","","","","","","NOT_FOUND","","","","","Mr Christopher David Myers","","","","","","","","","","","","","unknown","","","","",""
"Eye Establishment","https://www.doctify.com/uk/practice/eye-establishment","","London, SW5 0EA","Cataract Surgery; Endocrinology & Diabetes; Ophthalmology","","0","","","","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
